,dataset,f1,pr_auc,roc_auc,tpr,fpr,precision,accuracy,training_time(sec),Inference_time(sec),folds_best_params
4,ltstdb_20221_43.csv,0.5977618444,0.4999999375,0.9999999167,0.9869999507,0.9129999696,0.4471999875,0.5,15294.1364,25.3796,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
5,ltstdb_20221_43.csv,0.5367856603,0.4583332795,0.6666666111,0.9274999536,0.9129999696,0.3810666584,0.4,16147.5047,26.9074,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
6,ltstdb_20221_43.csv,0.5401332793,0.2499999917,0.6666666111,0.938999953,0.9359999688,0.3794999923,0.5,16688.1982,27.0553,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
7,ltstdb_20221_43.csv,0.4643999534,0.1250000006,0,0.818999958,0.9216666359,0.3244499935,0,16743.9855,28.5229,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
8,ltstdb_20221_43.csv,0.6777499393,0.2499999904,0,0.9219999665,0.9614999519,0.5366999889,0.2,17240.8197,27.6028,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
9,ltstdb_20221_43.csv,0.528342804,0.1250000006,0,0.9359999513,0.988999967,0.3686999926,0.6,16407.9883,24.2624,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
0,ltstdb_20321_240.csv,0.4806928833,0.260317447,0.3333333156,0.8293333057,0.8347999833,0.3411440428,0.625,19931.6842,25.5366,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
1,ltstdb_20321_240.csv,0.1572813701,0.08333334043,0,0.3319999848,0.8869999823,0.1036666653,0.625,23591.1369,31.4735,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
2,ltstdb_20321_240.csv,0.274117141,0.2132936406,0,0.4743333175,0.8583999828,0.192994045,0.25,17205.4714,26.9211,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
3,ltstdb_20321_240.csv,0.2336630367,0.2055555464,0.199999986,0.4536666483,0.7721999846,0.1581333312,0.625,15147.7021,24.9143,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
4,ltstdb_20321_240.csv,0.3770513304,0.245238083,0.2666666524,0.6933333043,0.7865999843,0.2655916625,0.625,15115.1532,26.7207,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
5,ltstdb_20321_240.csv,0.2286893718,0.1547619001,0,0.4804999785,0.8033999839,0.1506607122,0.375,17268.4349,25.3876,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
6,ltstdb_20321_240.csv,0.1454222077,0.1339285629,0,0.3634999818,0.6866666552,0.09089285601,0.625,17653.586,33.8817,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
7,ltstdb_20321_240.csv,0.225150771,0.2249999836,0.399999972,0.4759999762,0.648399987,0.1477714263,0.7142857143,18119.6165,30.0505,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
8,ltstdb_20321_240.csv,0.4236047196,0.4047618773,0.4999999708,0.6049999798,0.6127499847,0.3413952307,0.4285714286,16346.6225,30.1373,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
9,ltstdb_20321_240.csv,0.3300936179,0.2611110979,0.1666666569,0.5396666472,0.7889999803,0.2399380914,0.2857142857,14915.5646,28.09,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
0,mitdb__100_180.csv,0.3451855109,0.1999999949,0.666666637,0.6879999712,0.4933333279,0.2321145876,0.828282,22163.4652,37.1512,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
1,mitdb__100_180.csv,0.4888067539,0.4277777439,0.8499999507,0.7716666347,0.3852999961,0.4095742819,0.8461538462,20194.3772,26.4584,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
2,mitdb__100_180.csv,0.3082948578,0.2361110987,0.6666666311,0.4549999838,0.3223999968,0.2457222393,0.8092307692,15582.6603,22.0616,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
3,mitdb__100_180.csv,0.1859773382,0.1611111053,0.4666666464,0.4638333145,0.5276999947,0.1181034953,0.6554545455,14794.2777,24.3467,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
4,mitdb__100_180.csv,0.02023589541,0.04166666808,0,0.07799999585,0.6258181761,0.01164743581,0.7692307692,16926.5096,33.5216,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
5,mitdb__100_180.csv,0.2571235255,0.249999986,0.5333333102,0.4659999843,0.4730999953,0.1831320708,0.6653846154,15532.9175,25.916,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
